City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
231,Dudinka,RU,2021-09-23 04:47:02,69.4058,86.1778,32.5,80,99,15.97
232,Nioro,GM,2021-09-23 04:47:02,13.35,-15.75,76.06,96,98,4.34
233,Abu Samrah,SY,2021-09-23 04:47:04,35.3029,37.1841,73.58,65,0,21.0
234,Longyearbyen,SJ,2021-09-23 04:47:04,78.2186,15.6401,44.44,76,75,12.66
235,Belmonte,BR,2021-09-23 04:47:05,-15.8631,-38.8828,73.9,73,99,15.08
236,Hobart,AU,2021-09-23 04:40:21,-42.8794,147.3294,57.06,50,20,4.0
237,Lahaina,US,2021-09-23 04:47:08,20.8783,-156.6825,80.35,73,16,10.54
238,Bengkulu,ID,2021-09-23 04:43:04,-3.8004,102.2655,83.82,71,77,6.87
239,Antofagasta,CL,2021-09-23 04:47:10,-23.65,-70.4,56.48,73,18,6.15
240,Eyl,SO,2021-09-23 04:47:11,7.9803,49.8164,82.74,65,24,20.92
241,Kamiiso,JP,2021-09-23 04:47:12,41.8167,140.65,71.98,78,75,5.75
242,Praia,CV,2021-09-23 04:47:13,14.9215,-23.5087,77.54,83,20,12.66
243,Nikolskoye,RU,2021-09-23 04:41:26,59.7035,30.7861,44.02,96,100,3.89
244,North Bend,US,2021-09-23 04:47:15,43.4065,-124.2243,60.71,90,40,8.05
245,Kirakira,SB,2021-09-23 04:47:15,-10.4544,161.9205,82.33,77,43,6.69
246,Riyadh,SA,2021-09-23 04:45:59,24.6877,46.7219,77.14,15,7,9.8
247,Sakaiminato,JP,2021-09-23 04:47:16,35.55,133.2333,80.58,47,20,17.27
248,Cotonou,BJ,2021-09-23 04:47:17,6.3654,2.4183,75.18,100,20,0.0
249,Rexburg,US,2021-09-23 04:43:01,43.826,-111.7897,62.58,35,1,9.22
250,Skjervoy,NO,2021-09-23 04:47:18,70.0311,20.9714,51.8,80,100,13.56
251,Khatima,IN,2021-09-23 04:47:19,28.9167,79.9667,85.57,67,15,4.03
252,Octeville,FR,2021-09-23 04:47:20,49.6261,-1.6435,55.26,100,19,5.75
253,San Ramon,US,2021-09-23 04:47:21,37.7799,-121.978,73.53,58,1,1.01
254,Bosaso,SO,2021-09-23 04:47:21,11.2842,49.1816,94.98,38,0,16.11
255,Canaries,ES,2021-09-23 04:47:22,28.0,-15.5,64.76,73,40,1.99
256,Pedernales,DO,2021-09-23 04:47:23,18.0384,-71.744,80.01,81,64,2.51
257,Alofi,NU,2021-09-23 04:47:24,-19.0595,-169.9187,76.89,69,68,19.57
258,Pangkalanbuun,ID,2021-09-23 04:47:25,-2.6833,111.6167,95.27,41,31,4.56
259,Klaksvik,FO,2021-09-23 04:43:07,62.2266,-6.589,45.52,66,73,35.14
260,Acapulco,MX,2021-09-23 04:44:07,16.8634,-99.8901,80.1,87,29,3.04
261,Ulaangom,MN,2021-09-23 04:47:26,49.9811,92.0667,51.76,34,85,4.14
262,Nishihara,JP,2021-09-23 04:47:27,26.1842,127.7558,87.08,86,75,8.05
263,Mahmudabad,IN,2021-09-23 04:47:28,27.3,81.1167,87.76,67,7,11.23
264,Vao,NC,2021-09-23 04:47:28,-22.6667,167.4833,68.41,63,4,21.7
265,Zyryanka,RU,2021-09-23 04:47:29,65.75,150.85,47.03,45,72,2.93
266,Baisha,CN,2021-09-23 04:47:30,26.5222,110.9311,83.82,75,46,4.29
267,Geraldton,AU,2021-09-23 04:47:32,-28.7667,114.6,79.21,29,0,17.27
268,Wenling,CN,2021-09-23 04:47:33,28.3669,121.36,83.5,64,1,6.24
269,Galesong,ID,2021-09-23 04:47:34,-5.3166,119.3661,86.02,62,98,1.03
270,Kurilsk,RU,2021-09-23 04:47:35,45.2333,147.8833,60.01,98,100,6.6
271,Kisangani,CD,2021-09-23 04:47:35,0.5167,25.2,70.09,99,100,4.5
272,Terrace,CA,2021-09-23 04:47:37,54.5163,-128.6035,50.43,76,90,10.36
273,San Patricio,US,2021-09-23 04:47:37,28.017,-97.5169,80.46,40,16,6.53
274,Jalu,LY,2021-09-23 04:47:37,29.0331,21.5482,79.32,34,0,7.4
275,Airai,TL,2021-09-23 04:43:56,-8.9266,125.4092,77.88,34,54,4.27
